dept_no,department,year_no,year,violent
1,"Austin, Texas",1,1975,404.460719
1,"Austin, Texas",2,1976,421.8905752
1,"Austin, Texas",3,1977,391.4259087
1,"Austin, Texas",4,1978,426.1710656
1,"Austin, Texas",5,1979,442.6652296
1,"Austin, Texas",6,1980,501.7107083
1,"Austin, Texas",7,1981,432.0385227
1,"Austin, Texas",8,1982,413.6839746
1,"Austin, Texas",9,1983,402.5285299
1,"Austin, Texas",10,1984,427.7886081
1,"Austin, Texas",11,1985,581.3481471
1,"Austin, Texas",12,1986,643.8607503
1,"Austin, Texas",13,1987,492.60769
1,"Austin, Texas",14,1988,536.5589627
1,"Austin, Texas",15,1989,555.547262
1,"Austin, Texas",16,1990,714.3133271
1,"Austin, Texas",17,1991,624.1089415
1,"Austin, Texas",18,1992,588.8733922
1,"Austin, Texas",19,1993,599.7792908
1,"Austin, Texas",20,1994,634.9721308
1,"Austin, Texas",21,1995,773.3568077
1,"Austin, Texas",22,1996,710.9048827
1,"Austin, Texas",23,1997,645.7069732
1,"Austin, Texas",24,1998,540.5907553
1,"Austin, Texas",25,1999,497.868445
1,"Austin, Texas",26,2000,471.8518586
1,"Austin, Texas",27,2001,473.7423711
1,"Austin, Texas",28,2002,467.0566826
1,"Austin, Texas",29,2003,462.1005717
1,"Austin, Texas",30,2004,525.1003223
1,"Austin, Texas",31,2005,489.5969663
1,"Austin, Texas",32,2006,515.3469998
1,"Austin, Texas",33,2007,540.026255
1,"Austin, Texas",34,2008,522.2053388
1,"Austin, Texas",35,2009,523.2973978
1,"Austin, Texas",36,2010,479.5101153
1,"Austin, Texas",37,2011,429.9758867
1,"Austin, Texas",38,2012,408.8120917
1,"Austin, Texas",39,2013,363.4861147
1,"Austin, Texas",40,2014,396.1616242
1,"Austin, Texas",41,2015,386.8688076
2,"Charlotte-Mecklenburg, N.C.",1,1975,739.0224454
2,"Charlotte-Mecklenburg, N.C.",2,1976,691.5553609
2,"Charlotte-Mecklenburg, N.C.",3,1977,855.8445222
2,"Charlotte-Mecklenburg, N.C.",4,1978,787.7683993
2,"Charlotte-Mecklenburg, N.C.",5,1979,826.7652353
2,"Charlotte-Mecklenburg, N.C.",6,1980,887.7262753
2,"Charlotte-Mecklenburg, N.C.",7,1981,1000.306474
2,"Charlotte-Mecklenburg, N.C.",8,1982,1280.773712
2,"Charlotte-Mecklenburg, N.C.",9,1983,1318.179571
2,"Charlotte-Mecklenburg, N.C.",10,1984,1334.670715
2,"Charlotte-Mecklenburg, N.C.",11,1985,1362.864548
2,"Charlotte-Mecklenburg, N.C.",12,1986,1614.930232
2,"Charlotte-Mecklenburg, N.C.",13,1987,1680.332926
2,"Charlotte-Mecklenburg, N.C.",14,1988,1839.445926
2,"Charlotte-Mecklenburg, N.C.",15,1989,2050.390218
2,"Charlotte-Mecklenburg, N.C.",16,1990,2303.161638
2,"Charlotte-Mecklenburg, N.C.",17,1991,2175.759653
2,"Charlotte-Mecklenburg, N.C.",18,1992,2312.257459
2,"Charlotte-Mecklenburg, N.C.",19,1993,2299.804664
2,"Charlotte-Mecklenburg, N.C.",20,1994,1726.738263
2,"Charlotte-Mecklenburg, N.C.",21,1995,1695.868388
2,"Charlotte-Mecklenburg, N.C.",22,1996,1609.002473
2,"Charlotte-Mecklenburg, N.C.",23,1997,1630.76841
2,"Charlotte-Mecklenburg, N.C.",24,1998,1454.614739
2,"Charlotte-Mecklenburg, N.C.",25,1999,1345.277395
2,"Charlotte-Mecklenburg, N.C.",26,2000,1201.003499
2,"Charlotte-Mecklenburg, N.C.",27,2001,1221.602648
2,"Charlotte-Mecklenburg, N.C.",28,2002,1172.271142
2,"Charlotte-Mecklenburg, N.C.",29,2003,1076.941271
2,"Charlotte-Mecklenburg, N.C.",30,2004,1099.136857
2,"Charlotte-Mecklenburg, N.C.",31,2005,1171.576171
2,"Charlotte-Mecklenburg, N.C.",32,2006,1076.926156
2,"Charlotte-Mecklenburg, N.C.",33,2007,986.3751226
2,"Charlotte-Mecklenburg, N.C.",34,2008,931.772384
2,"Charlotte-Mecklenburg, N.C.",35,2009,723.2791742
2,"Charlotte-Mecklenburg, N.C.",36,2010,627.4204949
2,"Charlotte-Mecklenburg, N.C.",37,2011,606.3500186
2,"Charlotte-Mecklenburg, N.C.",38,2012,647.863214
2,"Charlotte-Mecklenburg, N.C.",39,2013,608.0192159
2,"Charlotte-Mecklenburg, N.C.",40,2014,589.7894309
2,"Charlotte-Mecklenburg, N.C.",41,2015,703.6862423
3,Chicago,1,1975,1179.68254
3,Chicago,2,1976,977.5086864
3,Chicago,3,1977,935.3681443
3,Chicago,4,1978,896.945248
3,Chicago,5,1979,908.4876802
3,Chicago,6,1980,959.6108249
3,Chicago,7,1981,850.034006
3,Chicago,8,1982,876.9581602
3,Chicago,9,1983,1316.561648
3,Chicago,10,1984,2010.905141
3,Chicago,11,1985,2001.139774
3,Chicago,12,1986,2294.591764
3,Chicago,13,1987,2265.087608
3,Chicago,14,1988,2315.153134
3,Chicago,15,1989,2462.63712
3,Chicago,16,1990,2971.844212
3,Chicago,17,1991,3219.658841
3,Chicago,18,1992,2973.700811
3,Chicago,19,1993,2839.122035
3,Chicago,20,1994,2793.618827
3,Chicago,21,1995,2655.127934
3,Chicago,22,1996,2450.802762
3,Chicago,23,1997,2354.066667
3,Chicago,24,1998,2265.317347
3,Chicago,25,1999,1820.149506
3,Chicago,26,2000,1675.474169
3,Chicago,27,2001,1601.25935
3,Chicago,28,2002,1565.021123
3,Chicago,29,2003,1362.246556
3,Chicago,30,2004,1278.746029
3,Chicago,31,2005,1254.59336
3,Chicago,32,2006,1237.422125
3,Chicago,33,2007,1236.920388
3,Chicago,34,2008,1264.94007
3,Chicago,35,2009,1176.12117
3,Chicago,36,2010,1104.541553
3,Chicago,37,2011,1045.710103
3,Chicago,38,2012,1019.79706
3,Chicago,39,2013,944.2194494
3,Chicago,40,2014,885.9004427
3,Chicago,41,2015,905.3562599
4,"Columbus, Ohio",1,1975,694.8360414
4,"Columbus, Ohio",2,1976,551.9731318
4,"Columbus, Ohio",3,1977,569.2686357
4,"Columbus, Ohio",4,1978,579.7647742
4,"Columbus, Ohio",5,1979,794.3046745
4,"Columbus, Ohio",6,1980,912.1362123
4,"Columbus, Ohio",7,1981,934.9862141
4,"Columbus, Ohio",8,1982,814.2917968
4,"Columbus, Ohio",9,1983,747.6911895
4,"Columbus, Ohio",10,1984,765.3765593
4,"Columbus, Ohio",11,1985,776.4079465
4,"Columbus, Ohio",12,1986,909.3558729
4,"Columbus, Ohio",13,1987,947.6928496
4,"Columbus, Ohio",14,1988,986.0169808
4,"Columbus, Ohio",15,1989,1045.879991
4,"Columbus, Ohio",16,1990,1109.478441
4,"Columbus, Ohio",17,1991,1130.873424
4,"Columbus, Ohio",18,1992,1093.109476
4,"Columbus, Ohio",19,1993,1104.596612
4,"Columbus, Ohio",20,1994,1043.589664
4,"Columbus, Ohio",21,1995,1037.059535
4,"Columbus, Ohio",22,1996,970.7994884
4,"Columbus, Ohio",23,1997,933.5171158
4,"Columbus, Ohio",24,1998,816.8148004
4,"Columbus, Ohio",25,1999,854.6170855
4,"Columbus, Ohio",26,2000,843.0432766
4,"Columbus, Ohio",27,2001,897.3718621
4,"Columbus, Ohio",28,2002,908.0125577
4,"Columbus, Ohio",29,2003,855.8825919
4,"Columbus, Ohio",30,2004,813.6608436
4,"Columbus, Ohio",31,2005,849.3432412
4,"Columbus, Ohio",32,2006,813.6182638
4,"Columbus, Ohio",33,2007,856.2721049
4,"Columbus, Ohio",34,2008,778.57444
4,"Columbus, Ohio",35,2009,707.8040166
4,"Columbus, Ohio",36,2010,695.2694487
4,"Columbus, Ohio",37,2011,663.7811401
4,"Columbus, Ohio",38,2012,602.9717175
