Day,Month,Year,Series,London,NewYork,Tokyo,Moscow
1,1,2006,13,6,3,3,-6
2,1,2006,13,6,7,6,-4
3,1,2006,13,7,3,6,-11
4,1,2006,13,4,1,3,-18
5,1,2006,13,2,7,3,-14
6,1,2006,13,3,3,2,-13
7,1,2006,13,1,-1,3,-6
8,1,2006,13,4,4,4,-1
9,1,2006,13,6,11,3,-3
10,1,2006,13,7,7,3,-4
11,1,2006,13,8,8,6,-6
12,1,2006,13,3,11,6,-2
13,1,2006,13,7,9,4,-1
14,1,2006,13,8,7,8,-1
15,1,2006,13,8,-4,11,-2
16,1,2006,13,8,-4,9,-12
17,1,2006,13,8,2,8,-24
18,1,2006,13,10,8,6,-30
19,1,2006,13,10,5,4,-29
20,1,2006,13,9,11,3,-27
21,1,2006,13,6,11,3,-23
22,1,2006,13,4,3,3,-21
23,1,2006,13,2,3,2,-19
24,1,2006,13,1,5,4,-19
25,1,2006,13,1,3,6,-11
26,1,2006,13,3,-1,6,-10
27,1,2006,13,3,1,7,-7
28,1,2006,13,2,9,6,-6
29,1,2006,13,6,9,6,-11
30,1,2006,13,6,12,6,-8
31,1,2006,13,3,5,7,-12
1,2,2006,14,1,4,7,-18
2,2,2006,14,-1,7,7,-19
3,2,2006,14,0,12,6,-21
4,2,2006,14,4,9,2,-21
5,2,2006,14,7,8,3,-22
6,2,2006,14,7,3,2,-26
7,2,2006,14,8,3,4,-26
8,2,2006,14,7,0,7,-24
9,2,2006,14,3,-1,4,-21
10,2,2006,14,3,0,6,-17
11,2,2006,14,4,0,7,-18
12,2,2006,14,7,-3,4,-12
13,2,2006,14,10,-2,4,-13
14,2,2006,14,8,2,10,-16
15,2,2006,14,10,8,14,-17
16,2,2006,14,7,10,9,-17
17,2,2006,14,8,7,7,-12
18,2,2006,14,3,-4,3,-13
19,2,2006,14,6,-5,7,-10
20,2,2006,14,6,-2,6,-6
21,2,2006,14,4,2,8,-4
22,2,2006,14,3,4,11,-2
23,2,2006,14,2,6,11,-3
24,2,2006,14,2,2,7,-6
25,2,2006,14,3,4,8,-7
26,2,2006,14,4,-4,8,-8
27,2,2006,14,4,-5,8,-8
28,2,2006,14,3,-2,4,-10
1,3,2006,15,2,1,6,-13
2,3,2006,15,2,0,8,-9
3,3,2006,15,2,-2,6,-9
4,3,2006,15,1,0,7,-10
5,3,2006,15,6,3,8,-10
6,3,2006,15,4,3,12,-8
7,3,2006,15,4,3,10,-11
8,3,2006,15,11,4,12,-10
9,3,2006,15,9,8,9,-12
10,3,2006,15,7,16,8,-12
11,3,2006,15,4,13,11,-7
12,3,2006,15,3,11,13,-3
13,3,2006,15,1,13,6,0
14,3,2006,15,4,11,6,0
15,3,2006,15,6,4,7,-4
16,3,2006,15,2,5,11,-2
17,3,2006,15,3,4,14,-1
18,3,2006,15,3,1,11,-2
19,3,2006,15,7,2,10,0
20,3,2006,15,4,1,8,-4
21,3,2006,15,4,1,11,-8
22,3,2006,15,3,3,10,-7
23,3,2006,15,4,7,10,-7
24,3,2006,15,10,8,11,-6
25,3,2006,15,11,6,10,-7
26,3,2006,15,14,7,12,-4
27,3,2006,15,12,8,12,-5
28,3,2006,15,11,9,13,-6
29,3,2006,15,10,11,10,3
30,3,2006,15,13,13,9,3
31,3,2006,15,13,16,8,3
1,4,2006,16,11,17,10,3
2,4,2006,16,12,13,13,3
3,4,2006,16,10,11,14,3
4,4,2006,16,6,9,13,4
5,4,2006,16,6,4,12,7
6,4,2006,16,8,8,11,3
7,4,2006,16,8,13,10,3
8,4,2006,16,8,9,13,1
9,4,2006,16,7,8,13,2
10,4,2006,16,6,11,10,6
11,4,2006,16,7,13,12,8
12,4,2006,16,9,13,14,6
13,4,2006,16,13,19,14,4
14,4,2006,16,12,16,12,7
15,4,2006,16,9,19,10,6
16,4,2006,16,13,14,9,4
17,4,2006,16,12,12,12,4
18,4,2006,16,11,16,16,8
19,4,2006,16,11,17,17,9
20,4,2006,16,12,21,14,8
21,4,2006,16,14,12,13,7
22,4,2006,16,8,7,12,6
23,4,2006,16,12,12,13,4
24,4,2006,16,11,12,17,3
25,4,2006,16,11,16,11,4
26,4,2006,16,12,9,12,7
27,4,2006,16,13,16,13,7
28,4,2006,16,11,13,14,3
29,4,2006,16,9,13,17,4
30,4,2006,16,11,14,17,4
1,5,2006,17,12,16,22,7
2,5,2006,17,12,16,16,10
3,5,2006,17,15,16,13,12
4,5,2006,17,18,19,14,13
5,5,2006,17,17,22,19,13
6,5,2006,17,13,18,19,17
7,5,2006,17,16,13,18,11
8,5,2006,17,13,14,16,8
9,5,2006,17,15,14,16,8
10,5,2006,17,16,16,18,11
11,5,2006,17,17,14,20,11
12,5,2006,17,17,18,17,9
13,5,2006,17,16,17,13,12
14,5,2006,17,13,13,14,16
15,5,2006,17,14,13,18,12
16,5,2006,17,14,14,18,9
17,5,2006,17,14,17,18,7
18,5,2006,17,16,18,17,11
19,5,2006,17,13,13,19,10
20,5,2006,17,13,16,22,13
21,5,2006,17,13,16,21,13
22,5,2006,17,13,13,19,13
23,5,2006,17,11,13,20,16
24,5,2006,17,12,17,19,16
25,5,2006,17,14,19,17,13
26,5,2006,17,16,19,18,12
27,5,2006,17,16,22,17,12
28,5,2006,17,16,23,20,9
29,5,2006,17,10,24,22,11
30,5,2006,17,10,26,22,11
31,5,2006,17,10,20,22,11
1,6,2006,18,12,23,23,14
2,6,2006,18,14,23,21,13
3,6,2006,18,16,17,18,13
4,6,2006,18,21,17,19,20
5,6,2006,18,14,18,18,21
6,6,2006,18,14,18,20,16
7,6,2006,18,19,16,20,10
8,6,2006,18,20,16,19,10
9,6,2006,18,19,19,18,11
10,6,2006,18,20,16,22,14
11,6,2006,18,27,16,19,13
12,6,2006,18,26,18,21,12
13,6,2006,18,20,22,20,14
14,6,2006,18,16,22,22,17
15,6,2006,18,16,22,22,18
16,6,2006,18,18,23,22,14
17,6,2006,18,21,24,23,18
18,6,2006,18,23,27,20,19
19,6,2006,18,18,27,23,20
20,6,2006,18,19,25,23,21
21,6,2006,18,18,24,22,22
22,6,2006,18,16,26,23,23
23,6,2006,18,17,26,23,24
24,6,2006,18,17,22,23,23
25,6,2006,18,20,22,22,23
26,6,2006,18,14,22,22,22
27,6,2006,18,14,23,23,19
28,6,2006,18,17,24,24,22
29,6,2006,18,18,23,27,23
30,6,2006,18,20,22,26,17
1,7,2006,19,20,23,24,10
2,7,2006,19,27,26,26,14
3,7,2006,19,24,27,26,15
4,7,2006,19,23,28,26,13
5,7,2006,19,21,23,23,18
6,7,2006,19,21,20,24,16
7,7,2006,19,20,22,26,18
8,7,2006,19,18,24,26,20
